experiment,true_label,pred_label,count
borderline_smote_raw_lgbm,class1,class1,92
borderline_smote_raw_lgbm,class1,class2,1
borderline_smote_raw_lgbm,class1,class3,0
borderline_smote_raw_lgbm,class2,class1,1
borderline_smote_raw_lgbm,class2,class2,189
borderline_smote_raw_lgbm,class2,class3,1
borderline_smote_raw_lgbm,class3,class1,2
borderline_smote_raw_lgbm,class3,class2,7
borderline_smote_raw_lgbm,class3,class3,2907
adasyn_raw_lgbm,class1,class1,93
adasyn_raw_lgbm,class1,class2,0
adasyn_raw_lgbm,class1,class3,0
adasyn_raw_lgbm,class2,class1,1
adasyn_raw_lgbm,class2,class2,188
adasyn_raw_lgbm,class2,class3,2
adasyn_raw_lgbm,class3,class1,3
adasyn_raw_lgbm,class3,class2,7
adasyn_raw_lgbm,class3,class3,2906
