ID,target,ensemble_pred,ensemble_correct,ensemble_confidence,ensemble_margin,ensemble_proba_class1,ensemble_proba_class2,ensemble_proba_class3,lightgbm_simple_fe_pred,lightgbm_simple_fe_confidence,lightgbm_simple_fe_proba_class1,lightgbm_simple_fe_proba_class2,lightgbm_simple_fe_proba_class3,lightgbm_original_pred,lightgbm_original_confidence,lightgbm_original_proba_class1,lightgbm_original_proba_class2,lightgbm_original_proba_class3,random_forest_original_pred,random_forest_original_confidence,random_forest_original_proba_class1,random_forest_original_proba_class2,random_forest_original_proba_class3,extra_trees_original_pred,extra_trees_original_confidence,extra_trees_original_proba_class1,extra_trees_original_proba_class2,extra_trees_original_proba_class3,hgb_original_pred,hgb_original_confidence,hgb_original_proba_class1,hgb_original_proba_class2,hgb_original_proba_class3,hgb_simple_fe_pred,hgb_simple_fe_confidence,hgb_simple_fe_proba_class1,hgb_simple_fe_proba_class2,hgb_simple_fe_proba_class3,xgboost_simple_fe_pred,xgboost_simple_fe_confidence,xgboost_simple_fe_proba_class1,xgboost_simple_fe_proba_class2,xgboost_simple_fe_proba_class3,gradient_boosting_fe_pred,gradient_boosting_fe_confidence,gradient_boosting_fe_proba_class1,gradient_boosting_fe_proba_class2,gradient_boosting_fe_proba_class3
1,class3,class3,True,0.9990166425632059,0.99803347951599,1.9445855269959765e-07,0.000983163047215859,0.9990166425632059,class3,0.9999999443818606,8.583198104889855e-09,4.7034941236935254e-08,0.9999999443818606,class3,0.9999997343222062,1.9919648305433195e-08,2.45758145536071e-07,0.9999997343222062,class3,0.9985714285714286,0.0,0.0014285714285714286,0.9985714285714286,class3,0.9977777777777778,0.0,0.0022222222222222222,0.9977777777777778,class3,0.9999996094778072,3.4280896885675994e-08,3.562412958511388e-07,0.9999996094778072,class3,0.9999996901122424,2.943166804263813e-08,2.804560895106868e-07,0.9999996901122424,class3,0.9999632835388184,5.077819878351875e-06,3.1640731322113425e-05,0.9999632835388184,class3,0.9999981591565551,1.9985444506199967e-07,1.6409889999508814e-06,0.9999981591565551
2,class3,class3,True,0.967318531756119,0.9346378797607708,8.165089424842277e-07,0.03268065199534822,0.967318531756119,class3,0.9999876265846535,9.526245497111126e-09,1.2363889101007634e-05,0.9999876265846535,class3,0.9999989941059604,4.594841436893949e-09,1.0012991981216923e-06,0.9999989941059604,class3,0.9957142857142857,0.0,0.004285714285714286,0.9957142857142857,class3,0.8,0.0,0.2,0.8,class3,0.999997892777986,6.265395332408865e-08,2.044568060639491e-06,0.999997892777986,class3,0.9999924406517556,1.7932268790495748e-07,7.380025556410874e-06,0.9999924406517556,class3,0.998647153377533,2.2636235371464863e-05,0.0013302182778716087,0.998647153377533,class3,0.9999610697378498,5.394545937725949e-07,3.839080755648411e-05,0.9999610697378498
3,class3,class3,True,0.9999982898225177,0.9999968946583999,3.149893527221173e-07,1.3951641177963308e-06,0.9999982898225177,class3,0.9999999358156321,7.29370273538588e-09,5.689066514322133e-08,0.9999999358156321,class3,0.999999822711804,6.343659466617821e-09,1.7094453652279883e-07,0.999999822711804,class3,1.0,0.0,0.0,1.0,class3,1.0,0.0,0.0,1.0,class3,0.9999999074310294,1.3564465203748917e-08,7.900450543846518e-08,0.9999999074310294,class3,0.9999999162644416,2.963058992722289e-08,5.410496844922433e-08,0.9999999162644416,class3,0.9999624490737915,8.406505003222264e-06,2.914369360951241e-05,0.9999624490737915,class3,0.9999960108440743,3.118683160300949e-07,3.677287609726227e-06,0.9999960108440743
4,class3,class3,True,0.9991875810755029,0.9985460188456621,0.0001708570294431762,0.0006415622298407697,0.9991875810755029,class3,0.9999999629565417,1.0169011289965487e-08,2.6874446993176293e-08,0.9999999629565417,class3,0.9999999866625928,6.084315820267574e-09,7.253091402330888e-09,0.9999999866625928,class3,0.9985714285714286,0.0,0.0014285714285714286,0.9985714285714286,class3,0.9988888888888889,0.0011111111111111111,0.0,0.9988888888888889,class3,0.9999999131303852,1.9750369246248025e-08,6.711924557728711e-08,0.9999999131303852,class3,0.9999998151431941,2.643100531421357e-08,1.5842580062342867e-07,0.9999998151431941,class3,0.9999706745147705,6.924317858647555e-06,2.2411311874748208e-05,0.9999706745147705,class3,0.9999986755895537,1.9988172984402313e-07,1.1245287163453057e-06,0.9999986755895537
5,class2,class2,True,0.8131000119399243,0.6262206934231072,2.0671156862147856e-05,0.8131000119399243,0.1868793185168171,class2,0.9999963195089154,1.0225297136324298e-07,0.9999963195089154,3.5782381131381235e-06,class2,0.9999177384398625,1.4490190741046046e-07,0.9999177384398625,8.211665822998983e-05,class2,0.7757142857142857,0.0,0.7757142857142857,0.22428571428571428,class3,0.5444444444444444,0.0,0.45555555555555555,0.5444444444444444,class2,0.9880709561005974,5.19086579257422e-07,0.9880709561005974,0.011928524812823586,class2,0.9993508171941955,8.447158129344785e-08,0.9993508171941955,0.0006490983342231617,class2,0.946069061756134,0.0005969707854092121,0.946069061756134,0.05333401635289192,class2,0.9963472178477386,8.266696279125175e-06,0.9963472178477386,0.0036445154559822035
6,class3,class3,True,0.996882200906626,0.993764683863865,2.8260797545581927e-07,0.0031175170427611087,0.996882200906626,class3,0.9999999213794188,8.212286297730077e-09,7.04082949983449e-08,0.9999999213794188,class3,0.999999868925436,6.5119610407902925e-09,1.2456260294494076e-07,0.999999868925436,class3,0.9957142857142857,0.0,0.004285714285714286,0.9957142857142857,class3,0.9922222222222222,0.0,0.0077777777777777776,0.9922222222222222,class3,0.9999998742264715,1.3580421549146195e-08,1.1219310696878429e-07,0.9999998742264715,class3,0.9999999176709541,1.4642962250475018e-08,6.768608355155004e-08,0.9999999176709541,class3,0.9999774694442749,7.061110864015063e-06,1.5486333722947165e-05,0.9999774694442749,class3,0.9999932747129283,4.2201940512141564e-07,6.303267666701081e-06,0.9999932747129283
7,class3,class3,True,0.9962828445453911,0.9925660036446685,3.140921364163709e-07,0.0037168409007225663,0.9962828445453911,class3,0.9999999202085258,1.050488336928629e-08,6.928659081979978e-08,0.9999999202085258,class3,0.9999996306079698,2.104759965244461e-08,3.48344430634899e-07,0.9999996306079698,class3,0.9928571428571429,0.0,0.007142857142857143,0.9928571428571429,class3,0.9966666666666667,0.0,0.0033333333333333335,0.9966666666666667,class3,0.999999778939916,4.5185048447068e-08,1.7587503560990208e-07,0.999999778939916,class3,0.9999998439519199,3.495641813671113e-08,1.2109166203593008e-07,0.9999998439519199,class3,0.9999696016311646,8.597759006079286e-06,2.1786618162877858e-05,0.9999696016311646,class3,0.999992234819609,2.2264898297575836e-07,7.542531408016237e-06,0.999992234819609
8,class3,class3,True,0.9976055422439314,0.9952114667410881,3.8023460011801696e-07,0.002394075502843279,0.9976055422439314,class3,0.9999999402842898,6.833159403637592e-09,5.288255063039046e-08,0.9999999402842898,class3,0.9999998157753327,8.264285468469958e-09,1.7596038181818946e-07,0.9999998157753327,class3,1.0,0.0,0.0,1.0,class3,0.9844444444444445,0.0,0.015555555555555555,0.9844444444444445,class3,0.9999993833029635,2.166550517575017e-08,5.950315313506901e-07,0.9999993833029635,class3,0.9999997879663481,5.622102680167892e-08,1.558126251532684e-07,0.9999997879663481,class3,0.9998327493667603,1.0348632713430561e-05,0.0001568408333696425,0.9998327493667603,class3,0.9999960108440743,3.118683160300949e-07,3.677287609726227e-06,0.9999960108440743
9,class2,class2,True,0.8351698676439328,0.6713291180006251,0.0009893847004695856,0.8351698676439328,0.16384074964330758,class2,0.9999974300817942,3.1250362163372737e-07,0.9999974300817942,2.2574145841456432e-06,class2,0.9999498656837714,8.708471831435011e-07,0.9999498656837714,4.9263469045627546e-05,class2,0.7814285714285715,0.0014285714285714286,0.7814285714285715,0.21714285714285714,class2,0.5666666666666667,0.0022222222222222222,0.5666666666666667,0.4311111111111111,class2,0.9999340170182127,3.37891230406102e-07,0.9999340170182127,6.564509055681953e-05,class2,0.9999015105388787,4.456299279645534e-07,0.9999015105388787,9.804383119346174e-05,class2,0.9937151074409485,0.00021040176216047257,0.9937151074409485,0.006074551027268171,class2,0.9995196108258313,3.8600145815832946e-06,0.9995196108258313,0.00047652915958707056
10,class1,class1,True,0.8644898788772593,0.7862459966530855,0.8644898788772593,0.07824388222417379,0.057266238283860876,class1,0.9999991777828331,0.9999991777828331,3.6334785450045627e-07,4.588693122697591e-07,class1,0.9999997264024252,0.9999997264024252,9.477973612692971e-08,1.7881783858761e-07,class1,0.8528571428571429,0.8528571428571429,0.07142857142857142,0.07571428571428572,class1,0.55,0.55,0.29888888888888887,0.1511111111111111,class1,0.999669259989668,0.999669259989668,1.277651217326929e-05,0.0003179634981585853,class1,0.9997663502524226,0.9997663502524226,2.7657921955741094e-05,0.0002059918256217137,class1,0.98965984582901,0.98965984582901,0.0077656772918999195,0.0025744582526385784,class1,0.9994336295622275,0.9994336295622275,0.0005342094326125604,3.216100516001875e-05
