model_name,accuracy_mean,accuracy_std,balanced_accuracy_mean,f1_macro_mean,folds
lightgbm_unweighted_original,0.9974999999999999,0.0028980057798424076,0.9958055133369033,0.990790724130138,"[0.996875, 1.0, 0.9984375, 0.9921875, 1.0]"
bagging_tree_original,0.9971874999999999,0.0018221724671391366,0.9989712320934858,0.9892195426462514,"[0.996875, 0.9953125, 1.0, 0.9953125, 0.9984375]"
lightgbm_simple_fe,0.9971874999999999,0.0018221724671391405,0.9956911622791559,0.9890225175316021,"[0.996875, 0.9984375, 0.9984375, 0.99375, 0.9984375]"
lightgbm_original,0.996875,0.003277527650531728,0.9939367763142435,0.9888970150120595,"[0.996875, 0.9984375, 0.9984375, 0.990625, 1.0]"
decision_tree_raw_depth5,0.9974999999999999,0.002119478119726637,0.9922965456004729,0.9881476544892868,"[0.9984375, 0.9984375, 1.0, 0.99375, 0.996875]"
gradient_boosting_fe,0.9962500000000001,0.002119478119726624,0.9969881440130791,0.9873545740421854,"[0.996875, 0.99375, 0.9984375, 0.99375, 0.9984375]"
lightgbm_eda_fe,0.9965624999999999,0.0018221724671391329,0.9971024950708264,0.9873513902569847,"[0.996875, 0.9953125, 0.9984375, 0.99375, 0.9984375]"
random_forest_original,0.996875,0.0022097086912079454,0.9902328768039343,0.9865448055602195,"[0.9953125, 0.99375, 0.9984375, 0.996875, 1.0]"
hgb_simple_fe,0.9965624999999999,0.0031868871959954944,0.9870335835123418,0.9851934093796609,"[0.996875, 0.9984375, 0.996875, 0.990625, 1.0]"
hgb_original,0.9956250000000001,0.003336586953759784,0.9868498656523578,0.983545502224979,"[0.9953125, 0.99375, 0.9984375, 0.990625, 1.0]"
hgb_eda_fe,0.9959374999999999,0.0036443449342783226,0.9868048813968473,0.9834370691157709,"[0.996875, 0.996875, 0.996875, 0.9890625, 1.0]"
xgboost_simple_fe,0.9956250000000001,0.002688226645950815,0.9814611427859784,0.9782636694358251,"[0.9953125, 0.996875, 0.9984375, 0.990625, 0.996875]"
lightgbm_core4_unweighted,0.9934375000000001,0.003750000000000009,0.9828143226893074,0.97698803360063,"[0.9953125, 0.9953125, 0.9953125, 0.9859375, 0.9953125]"
extra_trees_original,0.9765625,0.00473929715253222,0.8443808804057611,0.8921860002091725,"[0.9703125, 0.984375, 0.9765625, 0.9734375, 0.978125]"
